s|d
아무생각이 없다|중립
불안하다|불안
걱정된다|불안
행복하다|행복
화난다|분노
짜증난다|분노
평범하다|중립
무난하다|중립
힘빠진다|슬픔
기운빠진다|중립
가을이 가고 겨울이 오고 있다.|중립
너무 슬퍼요|슬픔
월급이 올랐다|행복
나는 여전히 철이 들지 않은 채로 나이를 먹고 있는 듯하다.|불안
그렇지만 행복한 일들이 늘 곁에 있기에 든든하게 살아가는 것 같다.|행복
 좋은 사람들에게 베풀 수 있다는 것 만으로도 행복한데, 나 또한 받는 것이 많아 더 행복하다.|행복
 겨울이 오면 새로운 해를 맞이할 준비가 하게 될 터인데, 항상 오늘처럼 행복했으면 한다.|행복
오늘은 희연언니 만나러 광주에 다녀왔다.|행복
생각보다 가깝고 에상보다 멀었다 ㅋㅋ|중립
지하철타고 버스타고 거의 2시간 걸려 언니 작업실에 도착했다.|중립
작업실 소파에서 같이 얘기하고 작업실 구경도 했다.|중립
깔끔하고 뭔가 갬성있고 멋있었다.|행복
배고파서 식당 찾다가 들어간 파스타집 막창집 모두 브레이크 타임이었다 ㅋㅋ|슬픔
하긴 시간이 3시반이었다|중립
근처 공원? 하천이랑 잔디밭 산책로 있는데 산책했다.|중립
돗자리 깔고 쉬고있는 가족들이 많았다.|중립
코로나 때문에 다들 답답해서 나왔나보다. 안타깝다 ㅠ|슬픔
귀여운 애기랑 댕댕이도 많이 봤다|행복
막창 곱창 오돌뼈 먹고 주먹밥, 테라, 콜라까지 마셨다|행복
그리고 카페가서 더 얘기를 하다보니 시간이 금방 갔다.|중립
내가 개업선물로 사준 스투키 화분 작업실에 뒀다.|중립
나는 버스 지하철 타고 집에 왔다.|중립
예쁜 벚꽃나무가 많아 예쁜 광주였다.|행복
저번주에 면접을 봤었는데 내일 본사면접이라구 또 본다구 하네요...|슬픔
이석기나 풀어줘라.|중립
아빠랑 싸웠는데 아빠가 화나면 뭐든 다 그냥 던지거나 부숴버린단말야|불안
아라시 유명함??? 유투브에서 많이봐서 친근하긴 한데|중립
 이거 할까봐 걱정됨....|불안
레벨업하기 딱 좋지 ㅋㅋ|중립
발치몽 노래에 왜 더럽게 에일리랑 은지가 참여를 ㅜ|슬픔
가결 확정234표|중립
최경환이가 입싼건 모르겠고 콩밥먹을 놈인건 맞지|슬픔
이런 정황들이 확정될때쯤되면나 이제 대통령 안할래이러구 끝날까 두렵네|불안
 힘들게 준비한노래 오늘 일위 못시켜줘서 미안해요ㅠ|슬픔
정말 축하해요|행복
세븐틴 멤버여서 고맙구 윤정한으로 태어나줘서 고마워요!!|행복
뭐하니 제명시켜야지|중립
솔직히 인성 범죄 이딴거 다 제끼고 실력만 보면 강정호가 넘사벽 탑이지ㅇㅇ|중립
